,index,Publishing Year,Book Name,Author,language_code,Author_Rating,Book_average_rating,Book_ratings_count,genre,gross sales,publisher revenue,sale price,sales rank,Publisher ,units sold
740,740,2012.0,The Signature of All Things,Elizabeth Gilbert,eng,Intermediate,3.81,61135.0,nonfiction,232.83,139.698,1.99,,"Amazon Digital Services,  Inc.",
741,741,2003.0,"Eats, Shoots and Leaves",Lynne Truss,en-US,Intermediate,3.86,79117.0,genre fiction,466.83,0.0,3.99,852.0,"Amazon Digital Services,  Inc.",32184.0
742,742,2004.0,Dead Witch Walking,Kim Harrison,en-US,Excellent,4.04,91390.0,nonfiction,349.83,0.0,2.99,852.0,"Amazon Digital Services,  Inc.",32184.0
743,743,1986.0,,"Clement C. Moore, Jan Brett",en-US,Excellent,4.36,81553.0,genre fiction,466.83,0.0,3.99,853.0,"Amazon Digital Services,  Inc.",32184.0
744,744,2009.0,An Echo in the Bone,Diana Gabaldon,eng,Famous,4.42,68854.0,genre fiction,1391.13,834.678,11.89,854.0,Simon and Schuster Digital Sales Inc,32184.0
745,745,2011.0,,Cynthia Hand,en-US,Excellent,4.06,99942.0,genre fiction,232.83,139.698,1.99,857.0,Hachette Book Group,31968.0
746,746,1988.0,The Case for Christ,Lee Strobel,,Excellent,4.1,67128.0,genre fiction,799.11,479.466,6.83,859.0,Macmillan,31752.0
747,747,2005.0,Knife of Dreams,Robert Jordan,en-US,Excellent,,71379.0,genre fiction,349.83,0.0,2.99,,"Amazon Digital Services,  Inc.",31752.0
748,748,2002.0,Hoot,Carl Hiaasen,eng,Intermediate,3.81,75275.0,genre fiction,583.83,350.298,4.99,862.0,Penguin Group (USA) LLC,31752.0
749,749,-17.0,Ã†neis,"Virgil, Robert Fitzgerald",eng,Intermediate,3.81,75051.0,genre fiction,114.84,0.0,0.99,863.0,"Amazon Digital Services,  Inc.",31752.0
750,750,2012.0,This is How You Lose Her,Junot DÃ­az,eng,Intermediate,3.75,66720.0,nonfiction,624.08,374.448,5.38,865.0,"Amazon Digital Services,  Inc.",31536.0
751,751,,ã‚¢ãƒ•ã‚¿ãƒ¼ãƒ€ãƒ¼ã‚¯ [AfutÄ dÄku],"Haruki Murakami, Jay Rubin",eng,Intermediate,3.68,64278.0,genre fiction,694.84,0.0,5.99,,"Amazon Digital Services,  Inc.",31536.0
752,752,1992.0,Ishmael: An Adventure of the Mind and Spirit,Daniel Quinn,en-US,Intermediate,3.97,63304.0,genre fiction,892.04,535.224,7.69,,Random House LLC,31536.0
753,753,2010.0,It's Not Summer Without You,Jenny Han,en-US,Excellent,4.14,80367.0,genre fiction,346.84,0.0,2.99,868.0,"Amazon Digital Services,  Inc.",31536.0
754,754,2012.0,Pushing the Limits,Katie McGarry,eng,Excellent,4.08,93818.0,,462.84,0.0,3.99,,"Amazon Digital Services,  Inc.",31320.0
755,755,2001.0,Quidditch Through the Ages,"Kennilworthy Whisp, J.K. Rowling",eng,Intermediate,3.85,90908.0,genre fiction,114.84,68.904,0.99,869.0,Random House LLC,31320.0
756,756,1977.0,Miss Nelson Is Missing!,"Harry Allard, James  Marshall",eng,Excellent,4.26,77206.0,genre fiction,1158.84,695.304,9.99,871.0,Penguin Group (USA) LLC,31320.0
757,757,1979.0,The Long Walk,"Richard Bachman, Stephen King",eng,Excellent,4.11,71775.0,,462.84,277.704,3.99,871.0,Hachette Book Group,31320.0
758,758,2001.0,The Ersatz Elevator,"Lemony Snicket, Brett Helquist",eng,Excellent,4.01,90071.0,nonfiction,230.84,138.504,1.99,873.0,,31104.0
759,759,2004.0,Messenger ,Lois Lowry,eng,Intermediate,3.9,,genre fiction,462.84,277.704,3.99,877.0,"Amazon Digital Services,  Inc.",30888.0
760,760,2007.0,Lover Revealed,J.R. Ward,eng,Excellent,4.3,97830.0,genre fiction,694.84,0.0,5.99,879.0,"Amazon Digital Services,  Inc.",30888.0
761,761,2005.0,'Salem's Lot The Illustrated Edition,"Stephen King, Jerry N. Uelsmann",eng,Excellent,4.25,72797.0,genre fiction,770.24,462.144,6.64,879.0,Hachette Book Group,30672.0
762,762,2007.0,The Mysterious Benedict Society,"Trenton Lee Stewart, Carson Ellis",en-US,Excellent,4.14,87335.0,genre fiction,114.84,68.904,0.99,881.0,"Amazon Digital Services,  Inc.",30672.0
763,763,2007.0,,Christopher Hitchens,eng,Intermediate,3.96,,children,694.84,416.904,5.99,883.0,,30456.0
764,764,2013.0,"Never Too Far (Too Far, #2)",Abbi Glines,eng,Excellent,4.21,97616.0,genre fiction,114.84,68.904,0.99,,"Amazon Digital Services,  Inc.",30456.0
765,765,2004.0,State of Fear,Michael Crichton,eng,Intermediate,3.69,65397.0,genre fiction,114.84,68.904,0.99,885.0,"Amazon Digital Services,  Inc.",30240.0
766,766,2012.0,The Statistical Probability of Love at First Sight,Jennifer E. Smith,eng,Intermediate,3.8,89356.0,genre fiction,114.84,0.0,0.99,886.0,"Amazon Digital Services,  Inc.",30240.0
767,767,2004.0,The Golem's Eye,Jonathan Stroud,en-US,Excellent,4.09,69058.0,nonfiction,810.84,486.504,6.99,886.0,Simon and Schuster Digital Sales Inc,29808.0
768,768,1980.0,Still Life with Woodpecker,Tom Robbins,eng,Excellent,4.04,56802.0,genre fiction,346.84,0.0,2.99,887.0,"Amazon Digital Services,  Inc.",29808.0
769,769,2004.0,Those Who Save Us,Jenna Blum,en-US,Excellent,4.12,68480.0,genre fiction,114.84,0.0,0.99,890.0,"Amazon Digital Services,  Inc.",29808.0
770,770,2005.0,The Broker,John Grisham,eng,Intermediate,3.77,65428.0,genre fiction,114.84,68.904,0.99,892.0,"Amazon Digital Services,  Inc.",29592.0
771,771,2011.0,Across the Universe,Beth Revis,eng,Intermediate,3.78,94176.0,genre fiction,462.84,0.0,3.99,892.0,"Amazon Digital Services,  Inc.",29376.0
772,772,1978.0,"The Road Less Traveled:  A New Psychology of Love, Traditional Values, and Spiritual Growth",M. Scott Peck,en-US,Excellent,4.03,61238.0,nonfiction,1042.84,625.704,8.99,,"Amazon Digital Services,  Inc.",29160.0
773,773,2004.0,Blood Rites,Jim Butcher,,Excellent,4.33,79627.0,nonfiction,1041.68,625.008,8.98,894.0,"Amazon Digital Services,  Inc.",28944.0
774,774,1942.0,The Boxcar Children,"Gertrude Chandler Warner, L. Kate Deal",en-US,Excellent,4.09,92916.0,genre fiction,1506.84,904.104,12.99,894.0,Simon and Schuster Digital Sales Inc,28944.0
775,775,2013.0,The Silent Wife,,eng,Novice,3.3,60323.0,nonfiction,784.16,470.496,6.76,897.0,"Amazon Digital Services,  Inc.",28728.0
776,776,2011.0,How to Be a Woman,Caitlin Moran,eng,Intermediate,3.73,70446.0,genre fiction,346.84,0.0,2.99,898.0,"Amazon Digital Services,  Inc.",28512.0
777,777,2016.0,A Court of Mist and Fury,Sarah J. Maas,eng,Famous,4.72,,,1158.84,695.304,9.99,900.0,Simon and Schuster Digital Sales Inc,28512.0
778,778,2010.0,Life,Keith Richards,,Intermediate,3.84,60409.0,genre fiction,926.84,556.104,7.99,900.0,Random House LLC,28512.0
779,779,2008.0,Unaccustomed Earth,Jhumpa Lahiri,eng,Excellent,4.11,60126.0,genre fiction,458.85,0.0,3.99,903.0,"Amazon Digital Services,  Inc.",28296.0
780,780,1998.0,The Pilot's Wife,Anita Shreve,eng,Intermediate,3.5,71777.0,genre fiction,1367.35,820.41,11.89,904.0,,28296.0
781,781,1985.0,White Noise,Don DeLillo,eng,Intermediate,3.86,55678.0,genre fiction,573.85,0.0,4.99,905.0,"Amazon Digital Services,  Inc.",28296.0
782,782,,"Band of Brothers: E Company, 506th Regiment, 101st Airborne from Normandy to Hitler's Eagle's Nest",Stephen E. Ambrose,eng,Famous,4.42,66079.0,genre fiction,343.85,0.0,2.99,907.0,,2943.0
783,783,1859.0,On the Origin of Species by Means of Natural Selection or the Preservation of Favoured Races in the Struggle for Life,Charles Darwin,eng,Intermediate,3.97,64162.0,genre fiction,1033.85,620.31,8.99,909.0,HarperCollins Publishers,2943.0
784,784,2003.0,Blankets,Craig Thompson,eng,Excellent,4.06,,genre fiction,343.85,0.0,2.99,909.0,"Amazon Digital Services,  Inc.",2943.0
